id,all yes
03710,1016
03705,1105
03708,851
03707,887
03706,678
03701,771
03709,1244
03703,628
03704,1067
03704,1067
03702,1029
03702,1029
04001,1309
04001,1309
04004,1194
04003,1095
04002,1033
04008,1299
04005,1035
04012,1238
04006,957
04011,798
04013,1340
04017,1858
04014,1587
04018,885
04015,1371
04016,1611
04007,966
04010,1235
04009,2192
03810,941
03809,830
03807,865
03808,604
03806,756
03805,1033
03802,611
03803,785
03804,634
03801,1096
04101,1731
04109,1073
04102,1269
04107,951
04110,1780
04108,989
04103,2087
04106,1182
04111,1704
04113,1265
04104,1249
04112,2266
04105,1931
04114,704
03903,1431
03902,1167
03901,1285
